vehicle_type,engine_capacity_cc,oil_filter_change_date,current_date,oil_filter_age_days,km_after_change,road_type,load_type,avg_oil_temperature,oil_viscosity_index,engine_rpm_avg,idling_percentage,ambient_temperature,fuel_type,driving_style,oil_filter_condition
LCV,7240,2023-04-17,2024-02-10,299,21693,highway,light,128.43554872835256,81.7485745208512,3155,22,23.216116461083864,Diesel,aggressive,Red
Hatchback,6398,2023-02-07,2024-01-26,353,52082,city,heavy,86.48184831900745,64.9552278746279,2098,22,19.644722845892403,Diesel,calm,Red
SUV,4644,2024-11-02,2024-12-15,43,7099,offroad,medium,123.9644634429637,46.933639367456124,3119,11,13.0359583946104,Diesel,normal,Yellow
Bus,7827,2023-11-15,2024-01-07,53,986,mixed,light,82.08478191831354,47.273761555621746,2678,30,40.922793231071246,Petrol,aggressive,Light-Green
SUV,5754,2024-05-07,2024-12-28,235,5110,highway,light,75.8514657009782,92.12177485213599,3476,22,33.79013278043534,Diesel,aggressive,Orange
Truck,7966,2024-08-30,2024-09-27,28,3427,mixed,medium,75.58538001647518,48.85009949911626,2293,35,30.69921915192825,CNG,calm,Green
Truck,3974,2023-10-08,2024-11-08,397,25664,highway,heavy,112.8221368916966,26.88997430146128,3277,7,26.269991293504276,Petrol,normal,Red
Sedan,2523,2023-09-21,2024-04-06,198,22560,highway,medium,128.4530829924954,63.7943621764558,2958,34,19.577214724511204,CNG,calm,Orange
Bus,3519,2024-06-16,2024-09-12,88,17253,city,heavy,93.59840863887976,42.82665477685037,1633,13,32.69273202574007,CNG,aggressive,Light-Green
SUV,2015,2023-11-09,2024-04-08,151,13904,city,medium,99.93786604644806,60.474155346579856,2477,7,30.495050295190033,CNG,calm,Yellow
Truck,7510,2024-04-04,2024-08-14,132,4429,city,medium,118.23566656248784,87.22810436566735,3339,23,10.652154745297066,Petrol,aggressive,Orange
LCV,2955,2023-10-08,2024-05-19,224,34143,city,heavy,75.19929092240596,35.325254473662056,3770,38,34.8215290854166,CNG,aggressive,Dark-Orange
SUV,2075,2024-06-25,2024-10-28,125,15680,offroad,medium,129.28966923694065,78.8042279912849,3069,37,16.35490988208675,Diesel,aggressive,Orange
SUV,1515,2023-06-13,2024-02-02,234,46165,mixed,medium,97.47067337177712,55.875312918529794,2311,23,10.160916865207652,Petrol,aggressive,Orange
LCV,5248,2023-04-13,2024-01-09,271,13117,offroad,heavy,92.71097056659154,71.70771087287221,3108,26,33.97277561286025,CNG,calm,Red
SUV,6198,2024-09-14,2024-11-26,73,887,offroad,light,102.85752874033886,92.87646829879031,3068,7,18.46614037346803,CNG,aggressive,Yellow
Bus,7656,2024-06-23,2024-07-14,21,1132,city,heavy,79.04775174595865,38.84900814456408,3649,39,18.220182565785148,Petrol,normal,Light-Green
SUV,5905,2023-09-12,2024-08-12,335,27955,offroad,heavy,84.44101185814372,69.18954800380762,2567,36,15.709015113566766,Petrol,normal,Red
Sedan,1769,2024-09-10,2024-12-28,109,18199,highway,medium,123.33027807232013,87.19447339352476,3481,14,25.538450262131523,Diesel,calm,Yellow
Hatchback,2220,2023-03-17,2024-04-16,396,78362,city,heavy,92.38848204255436,83.36349185698813,1458,25,13.682695549578877,Diesel,aggressive,Red
